review_id,product_id,user_id,rating,review_title,review_text,sentiment,review_date,verified_purchase
REV00037,P0148,U0212,3,Decent,"It's okay, not the best but not the worst either.",Neutral,2025-10-25,TRUE
REV00038,P0359,U0367,4,Great purchase,"Great value for money, exactly as described.",Positive,2025-06-08,TRUE
REV00039,P0149,U0282,3,Could be better,"Reasonable purchase, packaging could be improved though.",Neutral,2026-01-03,TRUE
REV00040,P0073,U0382,4,Worth every rupee,"Great value for money, exactly as described.",Positive,2026-03-03,TRUE
REV00041,P0153,U0134,4,Worth every rupee,"Amazing battery life and performance, very happy with this purchase.",Positive,2026-04-20,TRUE
REV00042,P0259,U0464,4,Superb build quality,"Amazing battery life and performance, very happy with this purchase.",Positive,2024-10-28,TRUE
REV00043,P0387,U0361,4,Loved it!,"Superb product, using it daily without any issues.",Positive,2025-04-04,TRUE
REV00044,P0011,U0188,4,Amazing product!,"Great value for money, exactly as described.",Positive,2026-06-22,TRUE
REV00045,P0316,U0340,3,Okay for the price,"Average product, does the job but nothing special.",Neutral,2026-06-18,FALSE
REV00046,P0114,U0367,3,Okay for the price,"It's okay, not the best but not the worst either.",Neutral,2026-01-10,TRUE
REV00047,P0158,U0099,4,Worth every rupee,"Worth every rupee, quality exceeded my expectations.",Positive,2025-12-21,TRUE
REV00048,P0325,U0098,5,Loved it!,Very satisfied with the build quality and finish.,Positive,2026-08-06,TRUE
REV00049,P0287,U0127,3,Decent,"It's okay, not the best but not the worst either.",Neutral,2025-06-16,TRUE
REV00050,P0010,U0195,5,Great purchase,"Superb product, using it daily without any issues.",Positive,2024-09-10,FALSE
REV00051,P0187,U0150,4,Highly recommended,"Superb product, using it daily without any issues.",Positive,2026-07-21,FALSE
REV00052,P0154,U0447,4,Loved it!,Very satisfied with the build quality and finish.,Positive,2025-06-22,FALSE
REV00053,P0287,U0006,4,Excellent quality,Very satisfied with the build quality and finish.,Positive,2025-07-28,TRUE
REV00054,P0165,U0322,3,Average product,"Average product, does the job but nothing special.",Neutral,2026-07-30,TRUE
REV00055,P0153,U0027,5,Great purchase,"Great value for money, exactly as described.",Positive,2026-05-29,FALSE
REV00056,P0187,U0128,4,Great purchase,"Perfect for daily use, sturdy and reliable.",Positive,2026-07-17,FALSE
REV00057,P0019,U0099,3,Could be better,"Average product, does the job but nothing special.",Neutral,2025-05-15,TRUE
REV00058,P0359,U0461,4,Great purchase,"Superb product, using it daily without any issues.",Positive,2026-01-12,TRUE
REV00059,P0095,U0025,3,Average product,"Reasonable purchase, packaging could be improved though.",Neutral,2026-07-15,TRUE
REV00060,P0036,U0356,4,Best in this price range,"Perfect for daily use, sturdy and reliable.",Positive,2025-12-02,TRUE
REV00061,P0054,U0098,5,Amazing product!,"Excellent quality and fast delivery, will buy again.",Positive,2026-06-26,TRUE
REV00062,P0233,U0243,4,Excellent quality,Works perfectly and looks great. Highly recommend to everyone.,Positive,2026-08-03,TRUE
REV00063,P0046,U0169,3,Average product,"Reasonable purchase, packaging could be improved though.",Neutral,2025-03-26,TRUE
REV00064,P0279,U0217,3,Decent,"Decent quality, meets basic expectations.",Neutral,2025-07-26,TRUE
REV00065,P0259,U0066,3,Average product,"Reasonable purchase, packaging could be improved though.",Neutral,2026-07-03,TRUE
REV00066,P0393,U0024,5,Highly recommended,"Superb product, using it daily without any issues.",Positive,2026-01-01,TRUE
REV00067,P0245,U0407,3,Okay for the price,"It's okay, not the best but not the worst either.",Neutral,2026-02-07,FALSE
REV00068,P0029,U0287,4,Worth every rupee,"Perfect for daily use, sturdy and reliable.",Positive,2026-07-01,FALSE
REV00069,P0236,U0395,3,Decent,"It's okay, not the best but not the worst either.",Neutral,2026-05-29,TRUE
REV00070,P0101,U0270,3,Okay for the price,"Good for the price, but there is room for improvement.",Neutral,2026-02-04,TRUE
REV00071,P0286,U0444,4,Superb build quality,"Superb product, using it daily without any issues.",Positive,2026-05-19,TRUE
REV00072,P0341,U0028,4,Amazing product!,Very satisfied with the build quality and finish.,Positive,2025-04-30,TRUE
REV00073,P0384,U0433,3,Decent,"It's okay, not the best but not the worst either.",Neutral,2026-02-10,TRUE
REV00074,P0130,U0080,3,Average product,"Reasonable purchase, packaging could be improved though.",Neutral,2026-05-14,TRUE
REV00075,P0025,U0391,3,Decent,"Decent quality, meets basic expectations.",Neutral,2026-01-10,TRUE
REV00076,P0210,U0098,4,Highly recommended,"Great value for money, exactly as described.",Positive,2026-07-27,TRUE
REV00077,P0034,U0367,5,Loved it!,"Perfect for daily use, sturdy and reliable.",Positive,2026-01-01,TRUE
REV00078,P0070,U0027,5,Loved it!,Works perfectly and looks great. Highly recommend to everyone.,Positive,2026-01-08,TRUE
REV00079,P0081,U0264,4,Great purchase,Very satisfied with the build quality and finish.,Positive,2025-05-19,FALSE
REV00080,P0224,U0313,4,Superb build quality,Very satisfied with the build quality and finish.,Positive,2026-08-03,TRUE
REV00081,P0240,U0210,5,Great purchase,"Amazing battery life and performance, very happy with this purchase.",Positive,2026-05-09,FALSE
REV00082,P0012,U0343,4,Excellent quality,"Amazing battery life and performance, very happy with this purchase.",Positive,2026-06-02,TRUE
REV00083,P0045,U0025,5,Superb build quality,"Excellent quality and fast delivery, will buy again.",Positive,2026-07-20,TRUE
REV00084,P0184,U0137,4,Excellent quality,"Amazing battery life and performance, very happy with this purchase.",Positive,2026-08-05,TRUE
REV00085,P0006,U0491,4,Best in this price range,"Excellent quality and fast delivery, will buy again.",Positive,2025-09-05,TRUE
REV00086,P0357,U0474,3,Could be better,"Decent quality, meets basic expectations.",Neutral,2025-05-09,FALSE
REV00087,P0146,U0106,4,Worth every rupee,"Superb product, using it daily without any issues.",Positive,2026-05-23,TRUE
REV00088,P0384,U0471,4,Amazing product!,"Great value for money, exactly as described.",Positive,2026-06-27,TRUE
REV00089,P0082,U0075,3,Okay for the price,"Decent quality, meets basic expectations.",Neutral,2026-05-04,TRUE
REV00090,P0311,U0087,4,Best in this price range,"Amazing battery life and performance, very happy with this purchase.",Positive,2026-07-04,TRUE
REV00091,P0094,U0113,4,Amazing product!,"Perfect for daily use, sturdy and reliable.",Positive,2026-05-07,TRUE
REV00092,P0391,U0276,2,Disappointed,"Overpriced for the quality offered, expected better.",Negative,2026-07-20,TRUE
REV00093,P0239,U0087,4,Highly recommended,"Excellent quality and fast delivery, will buy again.",Positive,2026-07-23,TRUE
REV00094,P0049,U0055,3,Could be better,"Decent quality, meets basic expectations.",Neutral,2026-05-30,TRUE
REV00095,P0363,U0169,5,Great purchase,"Excellent quality and fast delivery, will buy again.",Positive,2025-06-25,FALSE
REV00096,P0095,U0449,3,Decent,"It's okay, not the best but not the worst either.",Neutral,2026-06-30,TRUE
REV00097,P0260,U0395,2,Poor quality,"Packaging was damaged when it arrived, quality control issue.",Negative,2026-04-15,TRUE
REV00098,P0083,U0414,4,Great purchase,"Superb product, using it daily without any issues.",Positive,2026-03-07,FALSE
REV00099,P0337,U0192,4,Worth every rupee,"Worth every rupee, quality exceeded my expectations.",Positive,2025-08-26,TRUE
REV00100,P0174,U0155,3,Average product,"Decent quality, meets basic expectations.",Neutral,2025-03-25,TRUE
REV00101,P0188,U0234,3,Average product,"Reasonable purchase, packaging could be improved though.",Neutral,2026-07-21,TRUE
REV00102,P0273,U0308,4,Highly recommended,"Amazing battery life and performance, very happy with this purchase.",Positive,2025-10-29,TRUE
REV00103,P0115,U0162,3,Average product,"Good for the price, but there is room for improvement.",Neutral,2026-04-11,TRUE
REV00104,P0093,U0327,3,Okay for the price,"Average product, does the job but nothing special.",Neutral,2026-06-02,FALSE
REV00105,P0327,U0357,3,Could be better,"It's okay, not the best but not the worst either.",Neutral,2025-05-22,TRUE
REV00106,P0075,U0103,3,Average product,"Reasonable purchase, packaging could be improved though.",Neutral,2025-08-08,TRUE
REV00107,P0066,U0268,3,Okay for the price,"Reasonable purchase, packaging could be improved though.",Neutral,2026-07-24,TRUE
REV00108,P0126,U0316,2,Poor quality,"Very poor build quality, broke within a week.",Negative,2025-07-13,TRUE
REV00109,P0161,U0401,4,Great purchase,"Perfect for daily use, sturdy and reliable.",Positive,2025-10-03,TRUE
REV00110,P0074,U0429,4,Excellent quality,"Excellent quality and fast delivery, will buy again.",Positive,2026-05-20,TRUE
REV00111,P0295,U0422,3,Average product,"Decent quality, meets basic expectations.",Neutral,2026-02-24,TRUE
REV00112,P0337,U0395,3,Decent,"Reasonable purchase, packaging could be improved though.",Neutral,2026-05-29,TRUE
REV00113,P0005,U0484,4,Best in this price range,"Worth every rupee, quality exceeded my expectations.",Positive,2026-03-11,TRUE
REV00114,P0309,U0344,4,Loved it!,"Perfect for daily use, sturdy and reliable.",Positive,2026-02-09,TRUE
REV00115,P0294,U0232,2,Not worth it,"Battery drains quickly, not satisfied with performance.",Negative,2025-12-05,TRUE
REV00116,P0099,U0070,3,Decent,"Average product, does the job but nothing special.",Neutral,2025-04-08,TRUE
REV00117,P0226,U0005,5,Best in this price range,"Excellent quality and fast delivery, will buy again.",Positive,2026-07-13,TRUE
REV00118,P0156,U0428,2,Below expectations,"Not as described, quite disappointed with this purchase.",Negative,2026-01-13,TRUE
REV00119,P0232,U0216,4,Excellent quality,"Great value for money, exactly as described.",Positive,2025-04-13,TRUE
REV00120,P0311,U0090,3,Average product,"Decent quality, meets basic expectations.",Neutral,2026-06-24,TRUE
REV00121,P0202,U0181,4,Superb build quality,"Worth every rupee, quality exceeded my expectations.",Positive,2025-10-27,TRUE
REV00122,P0294,U0354,3,Decent,"It's okay, not the best but not the worst either.",Neutral,2026-02-06,TRUE
REV00123,P0068,U0238,3,Could be better,"Decent quality, meets basic expectations.",Neutral,2026-03-06,TRUE
REV00124,P0166,U0113,3,Okay for the price,"Good for the price, but there is room for improvement.",Neutral,2025-09-22,TRUE
REV00125,P0358,U0321,4,Highly recommended,Very satisfied with the build quality and finish.,Positive,2024-09-30,TRUE
REV00126,P0359,U0267,3,Decent,"Decent quality, meets basic expectations.",Neutral,2026-02-12,TRUE
REV00127,P0204,U0223,3,Okay for the price,"It's okay, not the best but not the worst either.",Neutral,2025-06-05,FALSE
REV00128,P0179,U0254,5,Worth every rupee,"Great value for money, exactly as described.",Positive,2026-06-14,FALSE
REV00129,P0050,U0181,3,Decent,"Average product, does the job but nothing special.",Neutral,2026-04-26,TRUE
REV00130,P0220,U0185,4,Highly recommended,"Superb product, using it daily without any issues.",Positive,2025-02-16,TRUE
REV00131,P0185,U0424,4,Superb build quality,"Worth every rupee, quality exceeded my expectations.",Positive,2026-08-05,TRUE
REV00132,P0262,U0470,4,Best in this price range,"Perfect for daily use, sturdy and reliable.",Positive,2026-08-04,TRUE
REV00133,P0110,U0163,3,Could be better,"It's okay, not the best but not the worst either.",Neutral,2026-05-29,TRUE
REV00134,P0150,U0040,5,Worth every rupee,Works perfectly and looks great. Highly recommend to everyone.,Positive,2026-04-13,TRUE
REV00135,P0022,U0099,3,Okay for the price,"Average product, does the job but nothing special.",Neutral,2026-05-26,TRUE
REV00136,P0010,U0480,5,Loved it!,"Worth every rupee, quality exceeded my expectations.",Positive,2026-06-30,TRUE
REV00137,P0208,U0137,4,Highly recommended,"Excellent quality and fast delivery, will buy again.",Positive,2026-08-01,TRUE
REV00138,P0241,U0390,3,Could be better,"Average product, does the job but nothing special.",Neutral,2024-10-30,TRUE
REV00139,P0306,U0395,4,Great purchase,Works perfectly and looks great. Highly recommend to everyone.,Positive,2026-04-23,TRUE
REV00140,P0331,U0094,3,Could be better,"Reasonable purchase, packaging could be improved though.",Neutral,2026-06-26,TRUE
REV00141,P0137,U0182,3,Average product,"Average product, does the job but nothing special.",Neutral,2026-02-15,TRUE
REV00142,P0387,U0173,4,Great purchase,Very satisfied with the build quality and finish.,Positive,2026-02-20,TRUE
REV00143,P0336,U0043,3,Average product,"Good for the price, but there is room for improvement.",Neutral,2026-05-31,TRUE
REV00144,P0322,U0128,3,Decent,"Average product, does the job but nothing special.",Neutral,2025-11-22,TRUE
REV00145,P0202,U0444,3,Decent,"Good for the price, but there is room for improvement.",Neutral,2026-06-02,TRUE
REV00146,P0192,U0390,4,Superb build quality,Very satisfied with the build quality and finish.,Positive,2025-07-31,FALSE
REV00147,P0247,U0271,3,Decent,"Reasonable purchase, packaging could be improved though.",Neutral,2026-04-25,TRUE
REV00148,P0188,U0009,5,Worth every rupee,"Perfect for daily use, sturdy and reliable.",Positive,2026-06-03,FALSE
REV00149,P0032,U0148,2,Below expectations,"Stopped working after a few days, would not recommend.",Negative,2026-05-18,TRUE
REV00150,P0119,U0251,4,Excellent quality,Very satisfied with the build quality and finish.,Positive,2026-07-09,TRUE
REV00151,P0301,U0003,4,Worth every rupee,"Amazing battery life and performance, very happy with this purchase.",Positive,2026-05-14,FALSE
REV00152,P0306,U0195,5,Loved it!,"Excellent quality and fast delivery, will buy again.",Positive,2025-12-24,TRUE
REV00153,P0076,U0043,4,Excellent quality,"Amazing battery life and performance, very happy with this purchase.",Positive,2026-06-22,TRUE
REV00154,P0164,U0457,3,Average product,"Average product, does the job but nothing special.",Neutral,2026-06-24,TRUE
REV00155,P0253,U0300,3,Average product,"Reasonable purchase, packaging could be improved though.",Neutral,2026-07-29,TRUE
REV00156,P0391,U0154,2,Waste of money,"Not as described, quite disappointed with this purchase.",Negative,2025-11-18,TRUE
REV00157,P0345,U0314,4,Highly recommended,"Excellent quality and fast delivery, will buy again.",Positive,2025-12-14,TRUE
REV00158,P0076,U0133,4,Best in this price range,Very satisfied with the build quality and finish.,Positive,2026-05-10,TRUE
REV00159,P0042,U0087,4,Worth every rupee,"Amazing battery life and performance, very happy with this purchase.",Positive,2026-08-04,TRUE
REV00160,P0083,U0277,3,Could be better,"Good for the price, but there is room for improvement.",Neutral,2026-06-03,TRUE
REV00161,P0139,U0432,4,Best in this price range,"Great value for money, exactly as described.",Positive,2025-11-21,TRUE
REV00162,P0231,U0123,2,Poor quality,"Battery drains quickly, not satisfied with performance.",Negative,2025-07-26,TRUE
REV00163,P0024,U0421,3,Okay for the price,"Average product, does the job but nothing special.",Neutral,2026-07-27,TRUE
REV00164,P0166,U0459,3,Okay for the price,"Decent quality, meets basic expectations.",Neutral,2026-03-27,TRUE
REV00165,P0080,U0058,4,Superb build quality,"Worth every rupee, quality exceeded my expectations.",Positive,2025-12-08,TRUE
REV00166,P0144,U0052,3,Could be better,"Average product, does the job but nothing special.",Neutral,2025-11-08,TRUE
REV00167,P0185,U0447,4,Superb build quality,"Amazing battery life and performance, very happy with this purchase.",Positive,2026-03-27,TRUE
REV00168,P0242,U0314,4,Great purchase,"Excellent quality and fast delivery, will buy again.",Positive,2026-07-09,TRUE
REV00169,P0271,U0160,4,Excellent quality,Very satisfied with the build quality and finish.,Positive,2026-06-27,TRUE
REV00170,P0381,U0040,4,Loved it!,"Amazing battery life and performance, very happy with this purchase.",Positive,2026-08-03,TRUE
REV00171,P0235,U0321,3,Decent,"Decent quality, meets basic expectations.",Neutral,2025-09-11,TRUE
REV00172,P0387,U0483,4,Highly recommended,"Superb product, using it daily without any issues.",Positive,2026-05-13,FALSE
REV00173,P0249,U0070,4,Loved it!,"Amazing battery life and performance, very happy with this purchase.",Positive,2025-10-29,TRUE
REV00174,P0371,U0408,4,Worth every rupee,"Worth every rupee, quality exceeded my expectations.",Positive,2026-03-19,TRUE
REV00175,P0261,U0127,4,Superb build quality,"Excellent quality and fast delivery, will buy again.",Positive,2025-06-11,TRUE
REV00176,P0011,U0027,4,Loved it!,"Worth every rupee, quality exceeded my expectations.",Positive,2026-05-28,TRUE
REV00177,P0175,U0226,3,Could be better,"Average product, does the job but nothing special.",Neutral,2026-05-25,TRUE
REV00178,P0232,U0173,4,Loved it!,"Great value for money, exactly as described.",Positive,2026-01-28,TRUE
REV00179,P0400,U0383,4,Superb build quality,"Superb product, using it daily without any issues.",Positive,2025-11-09,TRUE
REV00180,P0193,U0314,5,Superb build quality,Very satisfied with the build quality and finish.,Positive,2026-03-30,TRUE
REV00181,P0264,U0480,4,Highly recommended,"Great value for money, exactly as described.",Positive,2026-06-07,FALSE
REV00182,P0167,U0015,3,Okay for the price,"It's okay, not the best but not the worst either.",Neutral,2025-05-24,TRUE
REV00183,P0293,U0190,3,Average product,"Decent quality, meets basic expectations.",Neutral,2025-07-20,TRUE
REV00184,P0275,U0314,5,Excellent quality,"Superb product, using it daily without any issues.",Positive,2026-06-12,TRUE
REV00185,P0003,U0281,4,Highly recommended,"Amazing battery life and performance, very happy with this purchase.",Positive,2025-09-24,TRUE
REV00186,P0034,U0132,5,Great purchase,"Amazing battery life and performance, very happy with this purchase.",Positive,2025-12-25,TRUE
REV00187,P0129,U0329,3,Could be better,"Reasonable purchase, packaging could be improved though.",Neutral,2025-10-26,TRUE
REV00188,P0163,U0397,4,Great purchase,"Great value for money, exactly as described.",Positive,2026-02-17,TRUE
REV00189,P0082,U0094,4,Loved it!,"Excellent quality and fast delivery, will buy again.",Positive,2026-06-25,TRUE
REV00190,P0067,U0133,2,Not worth it,"Stopped working after a few days, would not recommend.",Negative,2025-12-29,TRUE
REV00191,P0356,U0327,2,Poor quality,"Stopped working after a few days, would not recommend.",Negative,2026-07-08,TRUE
REV00192,P0321,U0256,3,Okay for the price,"Average product, does the job but nothing special.",Neutral,2026-03-17,TRUE
REV00193,P0360,U0401,4,Excellent quality,"Worth every rupee, quality exceeded my expectations.",Positive,2026-05-05,TRUE
REV00194,P0369,U0494,3,Could be better,"It's okay, not the best but not the worst either.",Neutral,2026-03-06,TRUE
REV00195,P0357,U0306,5,Superb build quality,"Excellent quality and fast delivery, will buy again.",Positive,2026-05-10,TRUE
REV00196,P0070,U0341,4,Superb build quality,Very satisfied with the build quality and finish.,Positive,2025-10-20,TRUE
REV00197,P0231,U0046,2,Waste of money,"Very poor build quality, broke within a week.",Negative,2026-02-07,TRUE
REV00198,P0220,U0087,3,Decent,"Reasonable purchase, packaging could be improved though.",Neutral,2026-07-23,FALSE
REV00199,P0374,U0459,5,Best in this price range,Works perfectly and looks great. Highly recommend to everyone.,Positive,2026-03-09,TRUE
REV00200,P0135,U0295,4,Amazing product!,"Excellent quality and fast delivery, will buy again.",Positive,2026-03-21,TRUE
REV00201,P0280,U0394,5,Best in this price range,"Amazing battery life and performance, very happy with this purchase.",Positive,2026-05-17,TRUE
REV00202,P0205,U0081,3,Average product,"Reasonable purchase, packaging could be improved though.",Neutral,2026-03-17,TRUE
REV00203,P0028,U0262,4,Excellent quality,"Superb product, using it daily without any issues.",Positive,2026-08-02,FALSE
REV00204,P0307,U0250,5,Worth every rupee,"Superb product, using it daily without any issues.",Positive,2025-12-10,FALSE
REV00205,P0033,U0200,4,Worth every rupee,"Great value for money, exactly as described.",Positive,2026-06-29,TRUE
REV00206,P0222,U0009,3,Average product,"Good for the price, but there is room for improvement.",Neutral,2025-06-02,TRUE
REV00207,P0028,U0161,3,Average product,"Decent quality, meets basic expectations.",Neutral,2026-08-05,TRUE
REV00208,P0193,U0052,5,Superb build quality,"Superb product, using it daily without any issues.",Positive,2025-12-29,FALSE
REV00209,P0054,U0148,3,Could be better,"Average product, does the job but nothing special.",Neutral,2026-06-17,TRUE
REV00210,P0298,U0434,2,Disappointed,"Not as described, quite disappointed with this purchase.",Negative,2026-05-03,TRUE
REV00211,P0221,U0151,5,Best in this price range,"Excellent quality and fast delivery, will buy again.",Positive,2026-06-03,TRUE
REV00212,P0219,U0212,4,Highly recommended,"Perfect for daily use, sturdy and reliable.",Positive,2025-10-22,TRUE
REV00213,P0161,U0062,3,Decent,"It's okay, not the best but not the worst either.",Neutral,2024-10-26,TRUE
REV00214,P0022,U0190,4,Great purchase,"Perfect for daily use, sturdy and reliable.",Positive,2025-02-20,TRUE
REV00215,P0295,U0052,4,Worth every rupee,"Great value for money, exactly as described.",Positive,2026-05-20,TRUE
REV00216,P0115,U0295,5,Amazing product!,"Amazing battery life and performance, very happy with this purchase.",Positive,2025-06-17,TRUE
REV00217,P0302,U0310,4,Great purchase,"Perfect for daily use, sturdy and reliable.",Positive,2026-07-29,TRUE
REV00218,P0026,U0243,4,Excellent quality,"Superb product, using it daily without any issues.",Positive,2026-07-12,TRUE
REV00219,P0126,U0055,4,Worth every rupee,"Amazing battery life and performance, very happy with this purchase.",Positive,2026-02-07,TRUE
REV00220,P0216,U0212,5,Superb build quality,"Superb product, using it daily without any issues.",Positive,2026-07-24,FALSE
REV00221,P0109,U0363,5,Amazing product!,Works perfectly and looks great. Highly recommend to everyone.,Positive,2026-08-01,TRUE
REV00222,P0132,U0167,4,Superb build quality,"Perfect for daily use, sturdy and reliable.",Positive,2025-10-08,TRUE
REV00223,P0048,U0279,4,Highly recommended,"Great value for money, exactly as described.",Positive,2026-06-02,TRUE
REV00224,P0267,U0060,3,Could be better,"Reasonable purchase, packaging could be improved though.",Neutral,2025-09-27,TRUE
REV00225,P0376,U0075,5,Highly recommended,Very satisfied with the build quality and finish.,Positive,2026-05-30,TRUE
REV00226,P0103,U0141,4,Highly recommended,Very satisfied with the build quality and finish.,Positive,2026-03-23,TRUE
REV00227,P0173,U0020,3,Average product,"Reasonable purchase, packaging could be improved though.",Neutral,2025-08-11,TRUE
REV00228,P0155,U0247,4,Best in this price range,Works perfectly and looks great. Highly recommend to everyone.,Positive,2026-04-09,FALSE
REV00229,P0154,U0089,3,Average product,"Good for the price, but there is room for improvement.",Neutral,2026-04-08,TRUE
REV00230,P0243,U0422,5,Superb build quality,"Perfect for daily use, sturdy and reliable.",Positive,2025-07-05,TRUE
REV00231,P0077,U0316,4,Best in this price range,Very satisfied with the build quality and finish.,Positive,2026-02-18,TRUE
REV00232,P0269,U0223,3,Decent,"Average product, does the job but nothing special.",Neutral,2026-02-17,TRUE
REV00233,P0346,U0271,3,Could be better,"It's okay, not the best but not the worst either.",Neutral,2025-01-07,TRUE
REV00234,P0084,U0087,3,Average product,"Reasonable purchase, packaging could be improved though.",Neutral,2026-07-19,TRUE
REV00235,P0387,U0070,4,Excellent quality,"Amazing battery life and performance, very happy with this purchase.",Positive,2025-11-30,TRUE
REV00236,P0350,U0289,4,Superb build quality,"Perfect for daily use, sturdy and reliable.",Positive,2026-05-17,TRUE
REV00237,P0168,U0035,3,Could be better,"Average product, does the job but nothing special.",Neutral,2026-05-23,FALSE
REV00238,P0215,U0390,3,Average product,"It's okay, not the best but not the worst either.",Neutral,2025-12-05,TRUE
REV00239,P0214,U0261,3,Could be better,"Average product, does the job but nothing special.",Neutral,2026-07-28,TRUE
REV00240,P0251,U0177,5,Highly recommended,"Worth every rupee, quality exceeded my expectations.",Positive,2026-05-18,TRUE
REV00241,P0249,U0217,3,Decent,"Good for the price, but there is room for improvement.",Neutral,2026-06-14,TRUE
REV00242,P0242,U0096,5,Excellent quality,Works perfectly and looks great. Highly recommend to everyone.,Positive,2026-02-04,TRUE
REV00243,P0265,U0358,4,Amazing product!,"Amazing battery life and performance, very happy with this purchase.",Positive,2026-04-24,TRUE
REV00244,P0206,U0401,3,Average product,"Good for the price, but there is room for improvement.",Neutral,2026-06-19,TRUE
REV00245,P0394,U0186,4,Excellent quality,Very satisfied with the build quality and finish.,Positive,2025-11-08,FALSE
REV00246,P0251,U0224,4,Highly recommended,"Great value for money, exactly as described.",Positive,2026-04-27,TRUE
REV00247,P0298,U0411,3,Average product,"Reasonable purchase, packaging could be improved though.",Neutral,2026-08-01,FALSE
REV00248,P0043,U0385,3,Okay for the price,"Good for the price, but there is room for improvement.",Neutral,2026-04-13,TRUE
REV00249,P0275,U0103,4,Amazing product!,"Superb product, using it daily without any issues.",Positive,2026-05-29,TRUE
REV00250,P0384,U0069,4,Excellent quality,Works perfectly and looks great. Highly recommend to everyone.,Positive,2026-06-10,TRUE
